customer_id,name,email,dob,signup_date,location_id
C0001,Matthew Rodriguez,heatherdouglas@example.org,1954-12-02,2019-05-16,L069
C0002,Justin Diaz,millernathan@example.net,1985-07-05,2018-09-06,L016
C0003,Patricia Pena,kristinesanchez@example.com,2003-10-19,2012-05-21,L049
C0004,David Smith,cassandra07@example.org,1993-02-22,2003-03-29,L011
C0005,Meghan George,johnsonrandall@example.com,1956-05-17,2016-01-27,L071
C0006,Jennifer Beard,djohnson@example.net,1974-02-12,1991-01-17,L038
C0007,Tiffany Davis,thomasjoseph@example.com,1978-05-20,1998-04-16,L081
C0008,Rachel Elliott,pbarnes@example.com,1964-07-20,1997-04-21,L080
C0009,Mark Martin,ijohnson@example.org,1964-05-01,1980-04-16,L047
C0010,Julie Murphy,amy49@example.net,1968-05-28,2014-11-27,L074
C0011,Kelli Luna,hdean@example.net,1954-10-28,1970-05-11,L025
C0012,Keith Adams,stephenwilliamson@example.net,1983-10-04,1992-11-11,L091
C0013,Toni Barber,natasha96@example.com,1959-09-24,2007-08-16,L009
C0014,William Galloway,gray@example.org,1961-08-17,1969-04-15,L006
C0015,Suzanne Martinez,emily87@example.net,1980-04-08,2009-12-02,L085
C0016,Virginia Molina,nielsenbradley@example.com,1991-06-28,2005-10-12,L030
C0017,April Brown,martinerin@example.net,1978-01-21,2011-07-27,L099
C0018,Robert Rodriguez,kenneth10@example.org,1990-08-26,2015-04-09,L038
C0019,Dave Williams,douglas34@example.com,1991-11-23,2020-03-08,L011
C0020,Peter Smith,maria78@example.net,1988-07-02,2024-10-31,L030
C0021,Christopher Hunter,jesus08@example.org,1995-11-07,1999-07-28,L013
C0022,Courtney Wilson,rogerssarah@example.org,1969-03-19,1992-03-09,L049
C0023,Benjamin Martin,phillip35@example.net,1979-06-29,1997-05-21,L036
C0024,Jared Koch,tflynn@example.net,2007-03-13,2018-06-12,L059
C0025,Jesse Anderson,ryan12@example.org,2002-05-30,2013-03-21,L082
C0026,Angel Miller,pbrown@example.com,1980-04-06,2010-03-03,L047
C0027,Roberto Morse,maryhuff@example.org,1983-11-29,2004-02-05,L021
C0028,William Meza,christopherroberts@example.net,1981-11-05,2021-03-01,L048
C0029,Joseph Jones,syang@example.com,1995-06-07,2010-01-23,L046
C0030,Cameron Mclean,tyler38@example.org,2002-03-26,2025-01-11,L027
C0031,Ashley Stokes,perezjohn@example.org,1980-07-06,2006-12-20,L086
C0032,Lori Cruz,daviddavis@example.org,1978-07-02,1980-07-25,L035
C0033,Bryan Ferrell,daniellelynch@example.org,1981-01-03,1982-11-13,L090
C0034,Richard Mejia,hernandezsteven@example.org,1974-12-16,2019-02-06,L088
C0035,Barbara Meyer,wbenjamin@example.net,1971-01-28,2002-03-31,L083
C0036,Rebecca Martin,john84@example.org,1984-09-20,1988-07-01,L010
C0037,Stephanie Chavez,joshuasmith@example.com,1982-02-08,1988-11-25,L078
C0038,Jeremy Taylor,trobinson@example.net,1973-05-10,2005-01-09,L082
C0039,Natasha Ortiz,tammywest@example.org,1967-11-27,1988-03-27,L022
C0040,David Washington MD,victor85@example.com,1956-11-02,2007-04-05,L069
C0041,Teresa Edwards,kevin97@example.net,1962-01-02,2003-08-12,L094
C0042,Victoria Washington,stephaniewood@example.net,1995-02-02,1995-06-14,L032
C0043,Richard Bass,blairjohnny@example.com,1995-04-05,2015-01-13,L021
C0044,Kristie Christensen,imcclain@example.org,2007-03-10,2022-08-12,L060
C0045,David Reeves,john04@example.org,2001-08-30,2003-03-15,L049
C0046,John Wheeler,adamsjustin@example.net,1963-11-09,2023-03-20,L035
C0047,Hunter Reyes,ppope@example.com,2003-10-02,2024-04-18,L082
C0048,Cody Nguyen,zacharydavis@example.net,1984-10-16,1985-03-25,L089
C0049,Laura Keith,zhernandez@example.com,1962-12-14,2018-02-26,L072
C0050,Cody Johnston,kathleen63@example.net,1961-05-14,2010-07-04,L029
C0051,Stephanie Brown,veronica72@example.net,1999-06-25,2016-07-31,L088
C0052,Charles Wood,agarcia@example.org,2007-04-26,2023-02-21,L042
C0053,Curtis Shaw,nelsonamanda@example.net,1960-07-22,2005-06-25,L099
C0054,Mary Johnson,taylorpatricia@example.org,1980-09-07,2012-11-20,L100
C0055,Tara Fitzgerald,martha25@example.com,1987-02-01,2006-12-08,L008
C0056,David Clark Jr.,maria65@example.com,1994-03-28,2004-03-09,L030
C0057,Heidi Phelps,logan93@example.org,1990-07-29,2004-04-07,L005
C0058,Wesley Thompson,nathan92@example.com,1995-06-14,2009-01-29,L041
C0059,Mrs. Kimberly Hoffman,charles51@example.net,1968-01-13,2000-03-14,L052
C0060,Margaret Valenzuela,nrose@example.net,1999-03-20,2007-09-11,L035
C0061,Michael Jones,mcdonaldnicholas@example.org,1983-04-19,2004-01-18,L009
C0062,Morgan English,brandiharrison@example.org,1956-08-15,1961-10-16,L028
C0063,Susan Munoz,kevinwilliams@example.net,1972-11-06,1977-03-08,L073
C0064,Richard Weber,hturner@example.net,1958-10-02,1989-09-26,L092
C0065,Jordan Rivera,corycruz@example.com,2002-10-25,2013-03-12,L041
C0066,Tiffany Davila,ejacobson@example.org,2004-10-07,2017-07-26,L028
C0067,Rebecca Hester,jasmine44@example.net,1999-03-08,2016-05-11,L084
C0068,Timothy Patterson,kennedymichael@example.com,1954-05-31,1991-12-05,L064
C0069,Gilbert Shaffer,laura64@example.org,2005-11-06,2023-11-10,L051
C0070,Lindsey Fernandez,wilsonchristopher@example.org,1971-05-06,1980-01-03,L083
C0071,Allen Mathis,lawrenceharris@example.net,1997-08-22,2007-02-20,L059
C0072,Joseph Smith,danielschmidt@example.com,1983-08-13,1987-07-25,L019
C0073,Ashley Ortiz,taylor54@example.net,1983-05-20,1985-08-11,L034
C0074,Timothy Dyer,kenneth65@example.net,1967-09-20,2013-02-27,L018
C0075,James Herrera,blairsue@example.org,1998-05-17,2003-09-27,L032
C0076,Kristin Parrish,lyonsmartha@example.com,1986-03-08,1992-02-04,L096
C0077,Jason Lowe,teresacross@example.net,1957-04-27,1986-01-01,L072
C0078,Deborah Mccormick,gomezwendy@example.com,1961-06-26,1970-03-07,L069
C0079,April Cummings,derekgilbert@example.org,1989-07-01,2002-04-02,L034
C0080,Gina Harris,gibbswilliam@example.org,2002-10-25,2022-05-07,L096
C0081,Barbara Matthews,gonzalezkimberly@example.org,1993-09-05,2003-10-30,L075
C0082,Samuel Morgan,waltonkelly@example.com,1973-09-26,1997-10-22,L055
C0083,Kenneth Williams,ronaldgomez@example.org,1981-11-14,2020-11-04,L075
C0084,Edward Ramos,kbranch@example.org,1978-01-18,2025-02-11,L052
C0085,Dawn Fuller,adriana63@example.org,2005-06-17,2024-02-09,L047
C0086,Larry Wolf,hoodaaron@example.net,2007-04-26,2022-02-24,L029
C0087,Anthony Oliver,tiffany94@example.org,1974-01-08,1988-12-18,L018
C0088,Daniel Ellis,brownheidi@example.com,2001-05-18,2022-08-06,L066
C0089,Stephanie Parks,chambersmichelle@example.com,1973-01-11,1990-03-19,L064
C0090,John Garcia,fsmith@example.org,1986-03-21,2004-04-18,L012
C0091,Krista Martinez,tyler97@example.org,2003-09-19,2007-08-14,L097
C0092,John Sullivan,rachelrhodes@example.org,1989-12-08,2022-07-12,L007
C0093,Jane Rowland,hmiller@example.com,1987-04-07,2013-04-28,L015
C0094,Brandon Barnes,hblack@example.net,1955-08-30,1986-01-23,L020
C0095,Sean Jones,sarah03@example.com,1999-04-20,2007-05-03,L081
C0096,Joseph French,wleblanc@example.net,1960-08-19,2009-04-07,L021
C0097,Randy Fuller,roberto50@example.net,1997-01-09,2018-06-07,L088
C0098,Michael Silva,patrickbautista@example.org,1958-01-21,2024-01-08,L055
C0099,Karen Martin,anthonymckinney@example.com,1996-12-16,2018-10-17,L077
C0100,Brett Cohen,saustin@example.org,1995-01-12,2018-11-14,L009
C0101,Christopher Henson,elizabethmccoy@example.net,1972-06-14,1991-09-18,L050
C0102,Michael Parks,frank94@example.com,1956-05-16,1983-11-15,L049
C0103,David Solis,silvamary@example.org,1995-07-28,2007-11-11,L077
C0104,Christian Jensen,lopezcarlos@example.net,1979-09-24,1999-11-09,L060
C0105,Charles Hernandez,smithwendy@example.net,1981-12-27,2020-03-28,L068
C0106,Jacob Bell,davenportdennis@example.net,1966-05-15,1977-04-18,L033
C0107,Alexis Barrett,jacquelinenelson@example.org,1960-04-12,1983-07-10,L071
C0108,Sara Martin,carriebell@example.org,1994-10-10,1997-09-05,L002
C0109,Christine Gutierrez,aburgess@example.net,1965-12-24,2000-01-21,L088
C0110,Claudia Martinez,rebeccazhang@example.org,1978-12-15,1983-05-17,L093
C0111,Karl Lee,richard73@example.org,1959-09-26,1995-04-15,L015
C0112,Brandon Wilson,ronald86@example.net,1976-07-14,1988-12-11,L088
C0113,Charles Gomez,katherine34@example.net,1985-12-26,1992-09-20,L069
C0114,Tiffany Wallace,xjohnson@example.com,2006-06-18,2015-01-30,L097
C0115,Dr. Bobby Nguyen,clane@example.net,2006-09-21,2022-07-01,L035
C0116,Susan Cole,mistycole@example.com,1967-07-31,2001-09-01,L099
C0117,Wayne Berry,gwallace@example.com,1970-05-26,1995-04-03,L083
C0118,Edwin Fisher,sandrews@example.org,1985-02-28,2014-08-08,L044
C0119,Donald Garza,ibrock@example.com,1988-04-15,2000-08-29,L015
C0120,Sierra Best,rhondaoliver@example.org,1957-08-13,1968-08-26,L038
C0121,Felicia Hill,xhenry@example.net,1970-04-17,1976-10-26,L056
C0122,Matthew Diaz,ellisjose@example.org,1993-08-05,1998-10-07,L021
C0123,Jeffrey Walker,anthony91@example.net,2004-02-17,2020-04-18,L059
C0124,Megan Martin,david30@example.net,1959-05-22,1998-05-29,L001
C0125,David Kidd,mjackson@example.net,1990-04-19,2022-02-20,L093
C0126,Ashley White,wilsonjason@example.com,1978-08-05,1993-05-12,L093
C0127,Darlene Rodriguez,qrussell@example.org,1993-04-18,2005-09-11,L034
C0128,Sarah Carrillo,omarmurphy@example.com,1983-08-05,2017-03-02,L065
C0129,Anna Davila,jennifer26@example.net,1988-05-24,1999-08-13,L098
C0130,Valerie Schmitt,scott49@example.org,1998-04-27,2007-07-29,L023
C0131,Amanda Peterson,sarahjackson@example.net,1988-01-04,2016-12-09,L065
C0132,Daniel Turner,bonnierogers@example.org,2001-11-26,2021-07-16,L014
C0133,Russell Gonzalez,michael53@example.net,1985-04-26,2011-12-08,L081
C0134,Marvin Rodriguez,owashington@example.com,1976-04-02,2007-02-11,L039
C0135,Robert Miller,ngarcia@example.com,1963-09-24,1979-03-24,L082
C0136,Jonathan Henson,robertharrison@example.org,1959-12-06,1981-06-21,L065
C0137,Steven Baker,tarajohnson@example.com,1993-12-30,2024-06-06,L078
C0138,John Li,thomasbailey@example.net,1982-01-13,2013-05-28,L026
C0139,Laura Reese,john18@example.org,1958-07-11,1988-01-03,L020
C0140,Brandi Robinson,wnorris@example.net,1972-05-27,1987-12-04,L048
C0141,Scott Dennis,jamesmartin@example.net,1993-05-31,2010-05-16,L098
C0142,Michael Snyder PhD,stephanie67@example.net,2003-07-14,2021-10-29,L021
C0143,John Reed,ericawilson@example.org,1962-02-28,1967-03-10,L070
C0144,Felicia Hardin,ashley91@example.com,1962-05-03,2018-11-07,L100
C0145,Lynn Williams,ojoseph@example.net,2003-01-18,2004-05-24,L068
C0146,Christopher Crawford,timothy43@example.net,1979-02-05,2006-06-26,L001
C0147,Mrs. Colleen Jackson,tina62@example.net,1987-04-03,2020-03-16,L077
C0148,Jason Jones,isaacdudley@example.org,2000-02-19,2009-11-20,L042
C0149,Katelyn Miller,rebeccaryan@example.org,1961-03-31,1979-06-19,L063
C0150,Kevin Horn,ibutler@example.com,1962-10-16,2007-05-04,L003
C0151,David Knight,xjones@example.com,2000-08-27,2022-03-27,L015
C0152,Rebecca Meyer,jaime55@example.com,1984-02-11,2000-12-12,L047
C0153,Kenneth Duncan,james37@example.com,1994-05-21,2016-11-17,L040
C0154,Mary Gamble,charlotte79@example.org,1982-08-25,1998-01-26,L031
C0155,Cheryl Lee,christopher92@example.com,1961-11-10,2020-04-22,L008
C0156,Isaac Gates,foleyjames@example.net,1973-10-09,2001-03-18,L031
C0157,Darin Ortega,richardspence@example.net,1978-03-22,1997-02-09,L073
C0158,Jennifer Farrell,charles05@example.com,1959-02-09,2002-12-20,L011
C0159,Cameron Collins,candace06@example.org,1968-07-21,2007-07-04,L011
C0160,Joshua Rice,qlee@example.org,1993-11-30,1998-06-08,L094
C0161,Brittany Williams,larrydawson@example.com,1998-08-08,2004-09-14,L063
C0162,Robert Fischer,martinezterri@example.org,1997-06-06,2001-04-19,L009
C0163,Tina Mcdaniel,zreid@example.net,1999-04-23,2023-06-28,L098
C0164,Anna Drake,nicole16@example.net,1955-06-05,2013-07-09,L069
C0165,James Hansen,emilywright@example.org,1983-03-01,2012-05-10,L099
C0166,Paul Chavez,jennifer19@example.com,1986-05-28,2002-10-04,L017
C0167,Kyle Roberts Jr.,daniel88@example.net,1974-04-02,1989-11-01,L017
C0168,Curtis Dickson,fisherstacy@example.com,2001-01-27,2008-04-01,L085
C0169,Ann Smith,hillwilliam@example.net,1956-11-24,1965-01-14,L061
C0170,Sarah Wolfe,jeffrey67@example.com,1971-07-31,1994-06-14,L071
C0171,Nicole Tate,louisflynn@example.com,1985-06-07,2017-05-30,L022
C0172,Steven Woodward,michelebrown@example.net,1978-04-27,1991-08-11,L034
C0173,Angela Gray,nathaniel03@example.net,1994-08-01,2015-08-05,L068
C0174,Brooke Christian,khart@example.net,2003-11-16,2021-06-05,L078
C0175,Holly Herman,ojimenez@example.com,1996-07-14,1999-10-06,L055
C0176,Joseph Sullivan,stephenpayne@example.com,1969-07-15,1972-11-03,L028
C0177,Kelly Blair,debbiebuchanan@example.net,1966-09-08,1993-03-12,L070
C0178,Amanda Garner,dmendez@example.org,1963-10-10,2025-03-27,L097
C0179,Danny Saunders,wallermary@example.com,1980-03-11,1989-11-20,L094
C0180,Charles Hall,peterwolfe@example.net,1970-11-29,1974-08-29,L089
C0181,Jordan Bolton,jennifer43@example.net,1961-08-25,1999-12-16,L026
C0182,Tiffany Conley,maria58@example.org,1973-09-21,1994-06-01,L092
C0183,Michael Henderson,deborah75@example.com,1961-03-19,1981-07-06,L040
C0184,Lori Meadows,casey04@example.org,1980-05-02,2009-09-28,L052
C0185,Shelley Chase,daniel48@example.com,1969-11-20,2022-09-25,L086
C0186,Anthony Spencer,wesleysullivan@example.net,1993-10-07,2002-11-02,L084
C0187,Laura Jones,whiteryan@example.net,1971-06-22,1980-03-16,L048
C0188,Lance Jones,fharris@example.net,1978-01-18,1979-07-21,L057
C0189,Matthew Johnson,smithandrea@example.org,1998-06-04,2005-01-24,L067
C0190,Kimberly Thompson,hawkinssharon@example.net,1989-02-01,2021-05-23,L058
C0191,Nicole Lamb,erik24@example.org,1983-02-16,2015-12-26,L016
C0192,Tasha Chen,tanyarodriguez@example.com,1954-05-27,1960-11-25,L032
C0193,Melinda Hudson,williamsregina@example.net,1992-05-27,2006-04-03,L029
C0194,Nichole Schneider,valeriekhan@example.org,2005-03-02,2024-08-10,L009
C0195,Dana Wilson,brendarussell@example.org,1976-02-12,2014-06-23,L044
C0196,Kathy Miller,kennethmorrow@example.org,2005-02-06,2015-08-02,L003
C0197,Brenda Hebert,nsoto@example.com,1964-11-17,2023-08-04,L076
C0198,Yvonne Rodriguez,mike11@example.com,2000-09-04,2001-01-08,L071
C0199,Nathan Robinson,ryanwright@example.net,1985-12-30,1995-03-17,L030
C0200,Daniel Obrien,wendy01@example.com,1964-03-05,2016-11-18,L076
C0201,Troy Davis,christina53@example.org,1970-05-23,1995-07-11,L029
C0202,Robert Williams,pacebrent@example.org,1971-04-11,1986-01-01,L001
C0203,Gerald Durham,karenproctor@example.com,1968-12-30,1978-06-14,L010
C0204,Christopher Flores,ksuarez@example.net,1969-06-26,2022-12-16,L091
C0205,Edward White,tarmstrong@example.net,1968-01-21,2005-04-18,L081
C0206,Rebecca Chan,ccobb@example.com,1958-02-25,1978-11-06,L008
C0207,Darrell Booker,eric97@example.net,1998-09-19,2005-10-03,L030
C0208,Kristin Underwood,byrdjulie@example.net,2006-10-23,2022-01-19,L009
C0209,April Jones,thomascarroll@example.com,1968-06-30,2019-06-22,L005
C0210,Tommy Caldwell,cristinabarron@example.org,1979-04-29,2003-05-02,L043
C0211,Briana Smith,juan45@example.com,1964-06-05,2020-09-05,L010
C0212,Marc Johnson,ecabrera@example.net,1983-01-27,2015-07-02,L066
C0213,Taylor Rodriguez,sandovalmario@example.com,1983-04-03,2004-02-06,L031
C0214,Mrs. Dawn Moore,gary79@example.net,1970-12-02,1971-10-25,L036
C0215,Sandra Chapman,mark58@example.com,1970-12-30,2019-05-08,L086
C0216,Timothy Huffman,robert32@example.com,1962-04-06,1967-09-25,L063
C0217,Barbara Mcgee,robertgarcia@example.com,1982-03-12,2018-06-09,L028
C0218,Sheila Schwartz,beth20@example.com,1974-07-24,2020-11-02,L070
C0219,Sophia Abbott,ugreen@example.org,1986-01-04,2002-06-30,L017
C0220,Kelly Hayes,brandon80@example.net,1978-04-29,1979-07-08,L093
C0221,Brian Torres,ghensley@example.com,1976-07-03,2022-09-14,L074
C0222,Tina Ramirez,christian49@example.org,1988-07-19,2022-03-22,L074
C0223,Benjamin Gill,hwilliams@example.com,1978-11-19,1998-06-09,L061
C0224,Jerome Wilson,davidmaria@example.org,1998-05-31,2000-07-16,L032
C0225,Mathew Evans,katherinesolis@example.com,1998-03-18,2013-07-23,L061
C0226,John Wallace,leslie87@example.org,2004-09-25,2010-04-28,L053
C0227,Derek Gilmore,danielmiller@example.com,1991-03-28,2018-04-16,L025
